exercise_name,exercise_url,Target,Synergists,Dynamic Stabilizers,Stabilizers,Antagonist Stabilizers,Antagonist      Stabilizers,Dynamic      Stabilizers,Stabilizers (Raised Leg),Stabilizers (Raised Arms),Stabilizers (see comments),Stabilizers (raised leg),Target (see comments),Stabilizers (near arm),Stabilizers (far arm),Synergists (Neck),Synergists / Stabilizers (Spine),Stabilizers (Other),Synergists (Spine),Synergists / Stabilizers (Hips),Target (see comments),Target(See Comments),Synergists (see comments),Target (See Comments),Stabilizers (raised arms),Antagonist Stabilizers (see comment),​​​​​​​Stabilizers,Stabilizers (see comments),Antagonist Stabilizers (see comments)
Weighted Hyperextension,https://exrx.net/WeightExercises/ErectorSpinae/WtHyperextension,Erector Spinae,Gluteus Maximus; Hamstrings; Adductor Magnus,,See comments,,,,,,,,,,,,,,,,,,,,,,,,
Weighted 45° Hyperextension,https://exrx.net/WeightExercises/ErectorSpinae/Wt45Hyperextension,Erector Spinae,Gluteus Maximus; Hamstrings; Adductor Magnus,,See comments,,,,,,,,,,,,,,,,,,,,,,,,
Cable Seated Row,https://exrx.net/WeightExercises/BackGeneral/CBSeatedRow,"Back, General","Erector Spinae; Trapezius, Middle; Trapezius, Lower; Rhomboids; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Brachialis; Brachioradialis; Pectoralis Major, Sternal","Biceps Brachii; Triceps, Long Head",Hamstrings; Gluteus Maximus; Adductor Magnus,,,,,,,,,,,,,,,,,,,,,,,,
Cable Wide Grip Seated Row,https://exrx.net/WeightExercises/BackGeneral/CBWideGripSeatedRow,"Back, General","Trapezius, Middle; Trapezius, Lower; Rhomboids; Latissimus Dorsi; Teres Major; Deltoid, Posterior; Infraspinatus; Teres Minor; Brachialis; Brachioradialis; Pectoralis Major, Sternal; Erector Spinae","Biceps Brachii; Triceps, Long Head",Hamstrings; Gluteus Maximus; Adductor Magnus,,,,,,,,,,,,,,,,,,,,,,,,
"Back Extension (on stability ball, arms down)",https://exrx.net/WeightExercises/ErectorSpinae/BWHyperextensionBall,Erector Spinae,,,No significant stabilizers,,,,,,,,,,,,,,,,,,Gluteus Maximus; Adductor Magnus,,,,,,
Bird Dog,https://exrx.net/WeightExercises/ErectorSpinae/BWBirdDog,Erector Spinae,"Gluteus Maximus; Trapezius, Lower; Trapezius, Middle; Deltoid, Anterior; Deltoid, Lateral; Coracobrachialis",Hamstrings,"Gluteus medius; Gluteus minimus; Piriformis; Obturator externus; Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Serratus Anterior; Triceps Brachii",Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Alternating Bird Dog,https://exrx.net/WeightExercises/ErectorSpinae/BWAlternatingBirdDog,Erector Spinae,"Gluteus Maximus; Trapezius, Lower; Trapezius, Middle; Deltoid, Anterior; Deltoid, Lateral; Coracobrachialis",Hamstrings,"Gluteus medius; Gluteus minimus; Piriformis; Obturator externus; Pectoralis Major, Sternal; Pectoralis Major, Clavicular; Serratus Anterior; Triceps Brachii; Rectus Abdominis; Obliques",,,,,,,,,,,,,,,,,,,,,,,,
45° Hyperextension (hands behind hips),https://exrx.net/WeightExercises/ErectorSpinae/BW45HyperextensionHips,Erector Spinae,Gluteus Maximus; Hamstrings; Adductor Magnus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
45° Hyperextension (arms crossed),https://exrx.net/WeightExercises/ErectorSpinae/BW45HyperextensionArmsCrossed,Erector Spinae,Gluteus Maximus; Hamstrings; Adductor Magnus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
45° Hyperextension (arms up),https://exrx.net/WeightExercises/ErectorSpinae/BW45HyperextensionArmsUp,Erector Spinae,Gluteus Maximus; Hamstrings; Adductor Magnus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
45° Hyperextension (hands behind neck),https://exrx.net/WeightExercises/ErectorSpinae/BW45HyperextensionNeck,Erector Spinae,Gluteus Maximus; Hamstrings; Adductor Magnus,,No significant stabilizers,,,,,,,,,,,,,,,,,,,,,,,,
Superman,https://exrx.net/WeightExercises/ErectorSpinae/Superman,Erector Spinae,Gluteus Maximus; Hamstrings,,"Deltoid, Anterior; Deltoid, Lateral; Coracobrachialis; Trapezius, Lower; Trapezius, Middle; Splenius",,,,,,,,,,,,,,,,,,,,,,,,
Contralateral Superman,https://exrx.net/WeightExercises/ErectorSpinae/ContraLateralSuperman,Erector Spinae,"Gluteus Maximus; Hamstrings; Trapezius, Lower; Trapezius, Middle",,"Deltoid, Anterior; Deltoid, Lateral; Coracobrachialis; Splenius",,,,,,,,,,,,,,,,,,,,,,,,
Suspended Pull Through,https://exrx.net/WeightExercises/ErectorSpinae/STPullThrough,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rear Bridge,https://exrx.net/WeightExercises/ErectorSpinae/BackPlank,Erector Spinae,,,"Gluteus Maximus; Triceps Brachii; Trapezius, Middle; Trapezius, Lower; Rhomboids; Levator Scapulae; Latissimus Dorsi",Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Incline Rear Bridge,https://exrx.net/WeightExercises/ErectorSpinae/RearInclinePlank,Erector Spinae,,,"Gluteus Maximus; Hamstrings; Triceps Brachii; Trapezius, Middle; Trapezius, Lower; Rhomboids; Levator Scapulae; Latissimus Dorsi",Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Barbell Lunge,https://exrx.net/WeightExercises/Quadriceps/BBLunge,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,Erector Spinae; Tibialis Anterior; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Barbell Rear Lunge,https://exrx.net/WeightExercises/Quadriceps/BBRearLunge,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Barbell Single Leg Split Squat,https://exrx.net/WeightExercises/Quadriceps/BBSingleLegSplitSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,Erector Spinae; Gluteus Medius; Gluteus Minimus,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Barbell Single Leg Squat,https://exrx.net/WeightExercises/Quadriceps/BBSingleLegSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus; Erector Spinae (see notes),Hamstrings; Gastrocnemius,Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques; Rectus Abdominis,,,,,,,Iliopsoas; Tensor Fasciae Latae; Pectineus; Sartorius; Quadriceps,,,,,,,,,,,,,"Deltoid, Anterior; Pectoralis Major, Clavicular; Deltoid, Lateral; Trapezius, Upper; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations; Levator Scapulae; Wrist Extensors",,,,
Barbell Split Squat,https://exrx.net/WeightExercises/Quadriceps/BBSplitSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Erector Spinae; Gluteus Medius; Gluteus Minimus,,,,,,,,,,,,,,,,,,,,,,,,
Barbell Squat,https://exrx.net/WeightExercises/Quadriceps/BBSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,Erector Spinae,,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Barbell Front Squat,https://exrx.net/WeightExercises/Quadriceps/BBFrontSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Erector Spinae; Deltoid, Anterior; Deltoid, Lateral; Supraspinatus; Pectoralis Major, Clavicular; Coracobrachialis; Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Trapezius, Lower; Serratus Anterior",Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Trap Bar Squat,https://exrx.net/WeightExercises/Quadriceps/TBSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Rhomboids",Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Barbell Step-up,https://exrx.net/WeightExercises/Quadriceps/BBStepUp,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus; Gastrocnemius        (second leg),,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius        (first leg),,,,,,,,,,,,,,,,,,,,,
Cable Rear Lunge,https://exrx.net/WeightExercises/Quadriceps/CBRearLunge,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Erector Spinae; Trapezius, Upper; Trapezius, Lower; Levator Scapulae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques",,,,,,,,,,,,,,,,,,,,,,,,
Cable Split Squat,https://exrx.net/WeightExercises/Quadriceps/CBLungeTwoArm,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Erector Spinae; Obliques",,,,,,,,,,,,,,,,,,,,,,,,
Cable Squat,https://exrx.net/WeightExercises/Quadriceps/CBSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Cable Step Down,https://exrx.net/WeightExercises/Quadriceps/CBSingleLegSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Cable Step-up,https://exrx.net/WeightExercises/Quadriceps/CBStepUp,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus; Gastrocnemius (second leg),Hamstrings; Gastrocnemius (first leg),"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques",Rectus Abdominis,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Lunge,https://exrx.net/WeightExercises/Quadriceps/DBLunge,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,"Erector Spinae; Trapezius, Upper; Trapezius, Lower; Levator Scapulae; Tibialis Anterior; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques",,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Dumbbell Rear Lunge,https://exrx.net/WeightExercises/Quadriceps/DBRearLunge,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Erector Spinae; Trapezius, Upper; Trapezius, Lower; Levator Scapulae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques",,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Split Squat,https://exrx.net/WeightExercises/Quadriceps/DBSplitSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Erector Spinae; Gluteus Medius; Gluteus Minimus,,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Squat,https://exrx.net/WeightExercises/Quadriceps/DBSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Rhomboids",Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Front Squat,https://exrx.net/WeightExercises/Quadriceps/DBFrontSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Dumbbell Step-up,https://exrx.net/WeightExercises/Quadriceps/DBStepUp,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus; Gastrocnemius (second leg),Hamstrings; Gastrocnemius (first leg),"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques",Rectus Abdominis,,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Step Down,https://exrx.net/WeightExercises/Quadriceps/DBStepDown,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus; Gastrocnemius        (following leg),,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius        (lead leg),,,,,,,,,,,,,,,,,,,,,
Lever 45° Leg Press (plate loaded),https://exrx.net/WeightExercises/Quadriceps/LV45LegPress,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,,,,,
Lever Lying Leg Press (plate loaded),https://exrx.net/WeightExercises/Quadriceps/LVLyingLegPressH,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Lever Seated Leg Press (plate loaded),https://exrx.net/WeightExercises/Quadriceps/LVSeatedLegPressH,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Lever Single Leg Squat (plate loaded),https://exrx.net/WeightExercises/Quadriceps/LVSingleLegSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Lever Split Squat (plate loaded),https://exrx.net/WeightExercises/Quadriceps/LVSplitSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,"Erector Spinae; Trapezius, Upper; Trapezius, Lower; Levator Scapulae; Gluteus Medius; Gluteus Minimus",,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Lever Squat (plate loaded),https://exrx.net/WeightExercises/Quadriceps/LVSquatPL,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Lever Barbell Squat (plate loaded),https://exrx.net/WeightExercises/Quadriceps/LVBBSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,Erector Spinae,,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Lever Leg Extension,https://exrx.net/WeightExercises/Quadriceps/LVLegExtension,Quadriceps,None,,"Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Brachioradialis; Brachialis; Biceps Brachii",,,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Leg Press,https://exrx.net/WeightExercises/Quadriceps/LVSeatedLegPress,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Lever Squat,https://exrx.net/WeightExercises/Quadriceps/LVSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Lever V-Squat,https://exrx.net/WeightExercises/Quadriceps/LVVSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Sled 45° Leg Press,https://exrx.net/WeightExercises/Quadriceps/SL45LegPress,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Sled Lying Leg Press,https://exrx.net/WeightExercises/Quadriceps/SLLyingLegPress,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Sled Seated Leg Press,https://exrx.net/WeightExercises/Quadriceps/SLSeatedLegPress,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Sled Squat,https://exrx.net/WeightExercises/Quadriceps/SLSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae",,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Sled Hack Squat,https://exrx.net/WeightExercises/Quadriceps/SLHackSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Smith Rear Lunge,https://exrx.net/WeightExercises/Quadriceps/SMRearLunge,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Smith Squat,https://exrx.net/WeightExercises/Quadriceps/SMSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,Erector Spinae,,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Weighted Single Leg Squat,https://exrx.net/WeightExercises/Quadriceps/WTSingleLegSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus; Erector Spinae (see notes),Hamstrings; Gastrocnemius,Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques; Rectus Abdominis,,,,,,,Iliopsoas; Tensor Fasciae Latae; Pectineus; Sartorius; Quadriceps,,,,,,,,,,,,,"Deltoid, Anterior; Pectoralis Major, Clavicular; Deltoid, Lateral; Coracobrachialis; Trapezius, Upper; Trapezius, Middle; Trapezius, Lower; Serratus Anterior, Inferior Digitations; Levator Scapulae; Wrist Extensors",,,,
Rear Lunge,https://exrx.net/WeightExercises/Quadriceps/BWRearLunge,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Lunge,https://exrx.net/WeightExercises/Quadriceps/BWLunge,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,Tibialis Anterior; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Single Leg Squat (pistol),https://exrx.net/WeightExercises/Quadriceps/BWSingleLegSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Erector Spinae (see notes); Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,Rectus Abdominis; Obliques,,,,,,Iliopsoas; Tensor Fasciae Latae; Pectineus; Sartorius; Quadriceps,,,,,,,,,,,,,,,,,
Single Leg Box Squat (pistol),https://exrx.net/WeightExercises/Quadriceps/BWSingleLegBoxSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,Rectus Abdominis; Obliques,,,,,,Iliopsoas; Tensor Fasciae Latae; Pectineus; Sartorius; Quadriceps,,,,,,,,,,,,,,,,,
Split Squat,https://exrx.net/WeightExercises/Quadriceps/BWSplitSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,Gluteus Medius; Gluteus Minimus,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Single Leg Split Squat,https://exrx.net/WeightExercises/Quadriceps/BWSingleLegSplitSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Gluteus Medius; Gluteus Minimus,,,,,,,,,,,,,,,,,,,,,,,,
Squat,https://exrx.net/WeightExercises/Quadriceps/BWSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Step-up,https://exrx.net/WeightExercises/Quadriceps/BWStepUp,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus; Gastrocnemius        (second leg),,"Erector Spinae; Trapezius, Upper; Trapezius, Middle; Levator Scapulae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques",,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius        (first leg),,,,,,,,,,,,,,,,,,,,,
Step-down,https://exrx.net/WeightExercises/Quadriceps/BWStepDown,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus; Gastrocnemius        (following leg),,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius        (lead leg),,,,,,,,,,,,,,,,,,,,,
Self-assisted Single Leg Squat (leg wrapped),https://exrx.net/WeightExercises/Quadriceps/ASSingleLegSquatSelfLeg,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques; Rectus Abdominis,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Self-assisted Squat,https://exrx.net/WeightExercises/Quadriceps/ASSquatSelf,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,,,,,Hamstrings; Gastrocnemius,,,,,,,,,,,,,,,,,,,,,
Self-assisted Step-down,https://exrx.net/WeightExercises/Quadriceps/ASStepDownSelf,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus; Gastrocnemius        (following leg),,Erector Spinae; Gluteus Medius; Gluteus Minimus; Quadratus        Lumborum; Obliques,,Rectus Abdominis; Obliques,Hamstrings; Gastrocnemius        (lead leg),,,,,,,,,,,,,,,,,,,,,
Suspended Single Leg Squat,https://exrx.net/WeightExercises/Quadriceps/STSingleLegSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus; Erector Spinae (see notes),Hamstrings; Gastrocnemius,"Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques; Rectus Abdominis; Trapezius, Middle; Rhomboids",,,,,,,Iliopsoas; Tensor Fasciae Latae; Pectineus; Sartorius; Quadriceps,,,,,,,,,,,,,,,,,
Suspended Single Leg Split Squat,https://exrx.net/WeightExercises/Quadriceps/STSplitSquat,Quadriceps,Gluteus Maximus; Adductor Magnus; Soleus,Hamstrings; Gastrocnemius,Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,,,,,,,,,,,,,,,,,,,,,,,,
Machine Assisted Inverse Leg Curl (plate loaded),https://exrx.net/WeightExercises/Hamstrings/MAInverseLegCurlPL,Hamstrings,Gastrocnemius; Gracilis; Sartorius; Popliteus,,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,
Barbell Glute-Ham Raise,https://exrx.net/WeightExercises/Hamstrings/BBGluteHamRaise,Hamstrings,Gluteus Maximus; Adductor Magnus; Gastrocnemius; Sartorius; Gracilis; Popliteus,,Erector Spinae,Rectus Abdominis; Obliques; Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,
Barbell Good-morning,https://exrx.net/WeightExercises/Hamstrings/BBGoodMorning,Hamstrings,Gluteus Maximus; Adductor Magnus,,Erector Spinae,,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Barbell Hyperextension,https://exrx.net/WeightExercises/Hamstrings/BBHyperextension,Hamstrings,Erector Spinae; Gluteus Maximus; Adductor Magnus,,"Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long Head; Brachialis; Brachioradialis; Biceps Brachii; Trapezius, Lower; Pectoralis Minor; Rhomboids",,,,,,,,,,,,,,,,,,,,,,,,
Barbell 45° Hyperextension,https://exrx.net/WeightExercises/Hamstrings/BB45Hyperextension,Hamstrings,Erector Spinae; Gluteus Maximus; Adductor Magnus,,"Latissimus Dorsi; Teres Major; Deltoid, Posterior; Triceps, Long Head; Brachialis; Brachioradialis; Biceps Brachii; Trapezius, Lower; Pectoralis Minor; Rhomboids",,,,,,,,,,,,,,,,,,,,,,,,
Barbell Straight Leg Deadlift,https://exrx.net/WeightExercises/Hamstrings/BBStraightLegDeadlift,Hamstrings,Erector Spinae; Gluteus Maximus; Adductor Magnus,,"Trapezius, Middle; Rhomboids; Latissimus Dorsi; Trapezius, Upper; Levator Scapulae; Trapezius, Lower",,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Barbell Straight-back Straight-leg Deadlift,https://exrx.net/WeightExercises/Hamstrings/BBStrBackStrLegDeadlift,Hamstrings,Gluteus Maximus; Adductor Magnus,,"Erector Spinae; Trapezius, Middle; Rhomboids; Trapezius, Upper; Levator Scapulae; Trapezius, Lower",,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Cable Lying Leg Curl,https://exrx.net/WeightExercises/Hamstrings/CBLyingLegCurl,Hamstrings,Gastrocnemius; Sartorius; Gracilis; Popliteus,,,,Tibialis Anterior; Rectus Femoris,,,,,,,,,,,,,,,,,,,,,,
Cable Standing Leg Curl,https://exrx.net/WeightExercises/Hamstrings/CBStandingLegCurl,Hamstrings,Gastrocnemius; Gracilis; Sartorius; Popliteus,,Gluteus Medius; Gluteus Minimus; Quadratus Lumborum; Obliques,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,
Cable Straight-back Straight-leg Deadlift,https://exrx.net/WeightExercises/Hamstrings/CBStrBackStrLegDeadlift,Hamstrings,Gluteus Maximus; Adductor Magnus,,"Erector Spinae; Trapezius, Middle; Rhomboids; Trapezius, Upper; Levator Scapulae; Trapezius, Lower",,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Dumbbell Straight-back Straight-leg Deadlift,https://exrx.net/WeightExercises/Hamstrings/DBStrBackStrLegDeadlift,Hamstrings,Gluteus Maximus; Adductor Magnus,,"Erector Spinae; Trapezius, Middle; Rhomboids; Trapezius, Upper; Levator Scapulae; Trapezius, Lower",,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
Lever Kneeling Leg Curl (plate loaded),https://exrx.net/WeightExercises/Hamstrings/LVKneelingLegCurlH,Hamstrings,Gastrocnemius; Gracilis; Sartorius; Popliteus,,Gluteus Medius; Gluteus Maximus,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,
Lever Isolateral Lying Leg Curl (plate loaded),https://exrx.net/WeightExercises/Hamstrings/LVLyingLegCurlH,Hamstrings,Gastrocnemius; Sartorius; Gracilis; Popliteus,,,,Tibialis Anterior; Rectus Femoris,,,,,,,,,,,,,,,,,,,,,,
Lever Seated Leg Curl (plate loaded),https://exrx.net/WeightExercises/Hamstrings/LVSeatedLegCurlH,Hamstrings,Gastrocnemius; Gracilis; Sartorius; Popliteus,,,Tibialis Anterior,,,,,,,,,,,,,,,,,,,,,,,
Lever Straight-back Straight-leg Deadlift (plate loaded),https://exrx.net/WeightExercises/Hamstrings/LVStrBackStrLegDeadlift,Hamstrings,Gluteus Maximus; Adductor Magnus,,"Erector Spinae; Trapezius, Middle; Rhomboids; Trapezius, Upper; Levator Scapulae; Trapezius, Lower",,Rectus Abdominis; Obliques,,,,,,,,,,,,,,,,,,,,,,
